SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Adrenal disorder,Adrenal disorder,C0001621,1.000000000000001
Adrenal haematoma,adrenal haemorrhage,C0151693,0.8198164066559045
Adrenal haemorrhage,adrenal haemorrhage,C0151693,1.0
Adrenal insufficiency,Adrenal insufficiency,C0001623,0.9999999999999997
Adrenal mass,adrenal adenoma,C0206667,0.7586683906407764
Adrenal neoplasm,Adrenal gland cancer,C0750887,0.8129705644254606
Adrenal suppression,Adrenal insufficiency,C0001623,0.8667744822809884
Adrenergic syndrome,Adrenergic syndrome,C0274714,1.0000000000000007
Adrenocortical insufficiency acute,Adrenocortical insufficiency acute,C0151467,0.9999999999999989
Adrenocorticotropic hormone deficiency,adrenocorticotropic hormone deficiency,C0342388,0.9999999999999988
Adrenomegaly,Acromegaly,C0001206,0.8070851813005161
Adulterated product,Medication residue,C1096282,0.5617706380386716
Adverse drug reaction,Adverse reaction,C0559546,0.9326718123701853
Adverse event,adverse event,C0877248,1.0000000000000009
Adverse reaction,Adverse reaction,C0559546,1.0000000000000009
Aeromonas infection,stenotrophomonas infection,C0948224,0.6661918428020915
Aerophagia,Aerophagia,C0001707,1.0000000000000016
Affect lability,Affect lability,C0233472,0.9999999999999998
Affective disorder,Affective disorder,C0525045,0.9999999999999989
Afterbirth pain,Puerperal pyrexia,C1331543,0.6430949103710538
Age-related macular degeneration,Macular degeneration,C0024437,0.9235353192451246
Ageusia,Ageusia,C2364111,1.0000000000000009
Aggression,Aggression,C0001807,1.0000000000000002
Agitated depression,Psychotic depression,C0270458,0.7204682030898916
Agitation,Agitation,C0085631,0.9999999999999992
Agitation neonatal,agitation neonatal,C0235844,1.000000000000001
Agitation postoperative,Agitation postoperative,C0919572,1.0000000000000009
Agnosia,Agnosia,C0001816,0.9999999999999987
Agonal respiration,Apnoea,C0003578,0.7219090775834287
Agoraphobia,Agoraphobia,C0001818,1.0000000000000009
Agranulocytosis,Agranulocytosis,C0001824,1.000000000000001
Aicardi^s syndrome,Acute coronary syndrome,C0948089,0.55985980807306
Air embolism,air embolism,C0013926,1.0000000000000007
Airway complication of anaesthesia,Airway complication of anaesthesia,C0919569,1.0000000000000004
Airway compression,Airway obstruction NOS,C0001883,0.698669276713004
Akathisia,Akathisia,C0392156,0.9999999999999996
Akinesia,Akinesia,C0085623,1.000000000000001
Alanine aminotransferase decreased,Alanine aminotransferase decreased,C0855618,1.000000000000001
Alanine aminotransferase increased,Alanine aminotransferase increased,C0151905,0.9999999999999998
Albumin urine,Albumin urine present,C0564622,0.8729876730718831
Albumin urine present,Albumin urine present,C0564622,1.0000000000000009
Albuminuria,Albuminuria,C0001925,1.000000000000001
Alcohol abuse,Alcohol abuse,C0085762,1.0000000000000004
Alcohol detoxification,Alcohol withdrawal syndrome,C0236663,0.6581034647561631
Alcohol interaction,Alcohol poisoning,C0392620,0.694177965404311
Alcohol intolerance,Alcohol intolerance,C0151474,1.0000000000000007
Alcohol poisoning,Alcohol poisoning,C0392620,0.9999999999999996
Alcohol problem,Alcohol problem,C0549393,1.0000000000000002
Alcohol test false positive,Pregnancy test false positive,C0151865,0.6941491424442285
Alcohol use,alcohol use,C0001948,1.0000000000000013
Alcohol withdrawal syndrome,Alcohol withdrawal syndrome,C0236663,1.0000000000000004
Alcoholic coma,alcoholic liver disease,C0023896,0.7491625044904372
Alcoholic liver disease,alcoholic liver disease,C0023896,1.0000000000000009
Alcoholism,Alcoholism,C0001973,1.0000000000000004
Aldolase abnormal,Enzyme abnormality,C0151625,0.642964446845754
Aldolase increased,Amylase increased,C0151479,0.6812202889496385
Alexithymia,Agnosia,C0001816,0.7776497246674162
Alice in wonderland syndrome,Retinoic acid syndrome,C0860564,0.5970520930970098
Alkalinuria,Acidemia,C0268030,0.7048760774393587
Alkalosis,Alkalosis,C0002063,0.9999999999999998
Allergic cough,allergic cough,C0577662,1.000000000000001
Allergic oedema,Allergic oedema,C0847033,0.9999999999999999
Allergic reaction to excipient,Reaction to drug excipients,C0853040,0.7969965268828711
Allergic respiratory symptom,allergic respiratory symptom,C1504367,0.9999999999999999
Allergy to animal,Protein allergy,C1112677,0.7235725976913653
Allergy to arthropod bite,allergy to arthropod sting,C1141954,0.9361319696875909
Allergy to chemicals,allergy to chemicals,C0948052,1.000000000000001
Allergy to metals,allergy to metals,C0577627,1.0000000000000007
Allergy to plants,Exposure to poisonous plant,C0853402,0.6966849044927966
Allergy to vaccine,Allergic rash,C0850569,0.6474730393384401
Allodynia,Allodynia,C0458247,1.0000000000000009
Alloimmune hepatitis,Autoimmune hepatitis,C0241910,0.8507478569264254
Alopecia,Alopecia,C0002170,0.9999999999999992
Alopecia universalis,Diffuse alopecia,C0406458,0.8644139762471634
Alpha 1 foetoprotein increased,Haptoglobin increased,C0236061,0.6011504502664535
Alpha 1 microglobulin increased,blood immunoglobulin a increased,C0853702,0.5863956678628017
Alpha haemolytic streptococcal infection,alpha haemolytic streptococcal infection,C1096266,1.0
Alpha hydroxybutyrate dehydrogenase increased,Blood lactate dehydrogenase increased,C0853149,0.7294819220710131
Altered state of consciousness,Altered state of consciousness,C0150450,0.9999999999999999
Altered visual depth perception,Altered visual depth perception,C1096444,0.9999999999999993
Alternaria infection,fusarium infection,C0276758,0.7160661560634156
Alveolitis allergic,Alveolitis allergic,C0002390,1.0000000000000007
Amaurosis,Amaurosis,C0376288,0.9999999999999998
Amaurosis fugax,Amaurosis fugax,C0149793,1.0000000000000004
Amblyopia,Amblyopia,C0002418,1.0000000000000009
Amenorrhoea,Amenorrhoea,C0002453,0.9999999999999996
Amimia,Acute myocardial ischemia,C0746731,0.6788065802688553
Amino acid level increased,Aminoaciduria,C0238621,0.8451307109519334
Aminoaciduria,Aminoaciduria,C0238621,0.9999999999999998
Ammonia abnormal,ammonia abnormal,C0855748,0.9999999999999997
Ammonia decreased,Ammonia increased,C0541772,0.8427836159107861
Ammonia increased,Ammonia increased,C0541772,0.9999999999999999
Amnesia,Amnesia,C0002622,1.0000000000000007
Amnestic disorder,amnestic disorder,C0002625,0.9999999999999999
Amniotic fluid volume decreased,Oligohydramnios,C0079924,0.7357764858286081
Amphetamines positive,amphetamines positive,C0805083,1.0
Amylase abnormal,Pancreatic enzymes abnormal,C0855440,0.78955303713115
Amylase increased,Amylase increased,C0151479,1.0000000000000002
Amyloidosis,Amyloidosis,C0002726,1.0000000000000007
Amyloidosis senile,Amyloidosis,C0002726,0.9104512852779542
Amyotrophic lateral sclerosis,motor neurone disease,C0085084,0.6475067319704081
Amyotrophy,Muscle atrophy,C0026846,0.801360683896873
Anaemia,Anaemia,C0002871,1.0000000000000018
Anaemia macrocytic,Anaemia macrocytic,C0002886,0.9999999999999998
Anaemia megaloblastic,Anaemia megaloblastic,C0002888,1.000000000000001
Anaemia of chronic disease,anaemia of chronic disease,C0002873,1.0000000000000004
Anaemia of malignant disease,anaemia of malignant disease,C0877429,1.0000000000000002
Anaesthetic complication,Airway complication of anaesthesia,C0919569,0.7960693370206813
Anaesthetic complication neurological,Anaesthetic complication neurological,C0854693,0.9999999999999989
Anal abscess,Anal abscess,C0281778,1.0000000000000013
Anal erosion,Anal fissure,C0016167,0.7539834970710987
Anal erythema,Anal pruritus,C0033775,0.8334620591801954
Anal fissure,Anal fissure,C0016167,0.9999999999999986
Anal fistula,Anal fistula,C0205929,1.0000000000000009
Anal haemorrhage,Anal haemorrhage,C0426747,0.9999999999999994
Anal incontinence,Faecal incontinence,C0015732,0.8528691441116578
Anal infection,anal inflammation,C0238634,0.8560774236510528
Anal neoplasm,Anal cancer,C0279637,0.8306641835528394
Anal prolapse,Rectal prolapse,C0034888,0.8503159807614369
Anal pruritus,Anal pruritus,C0033775,1.0000000000000018
Anal sphincter atony,Anal sphincter atony,C0877325,1.0000000000000009
Anal stenosis,anal stenosis,C0262374,1.0000000000000004
Anal ulcer,Rectal ulcer,C0400839,0.7880538036110254
Analgesic drug level above therapeutic,Analgesic therapy,C0412784,0.7362939956500739
Analgesic drug level increased,Pain worsened,C0853946,0.6949626218010837
Anaphylactic reaction,Anaphylactoid reaction,C0340865,0.9613236956961769
Anaphylactic shock,Anaphylactic shock,C0002792,1.0000000000000007
Anaphylactoid reaction,Anaphylactoid reaction,C0340865,0.9999999999999998
Anaplastic thyroid cancer,Anaplastic thyroid cancer,C0238461,1.0000000000000009
Anastomotic complication,Anastomotic leak,C0919691,0.8122223541379467
Anastomotic haemorrhage,Anastomotic leak,C0919691,0.8099187413083969
Anastomotic ulcer,Anastomotic ulcer,C1442968,1.0000000000000007
Anastomotic ulcer haemorrhage,Anastomotic ulcer,C1442968,0.8358127701498479
Andersen-Tawil syndrome,Pseudo-Bartter syndrome,C0853277,0.5720570780097805
Anencephaly,Anencephaly,C0002902,1.0000000000000002
Aneurysm,Aneurysm,C0002940,0.9999999999999996
Aneurysm repair,Aneurysm,C0002940,0.6427171468864286
Aneurysm ruptured,vascular rupture,C0679401,0.7401418054183125
Anger,Anger,C0002957,1.0000000000000009
Angina bullosa haemorrhagica,angina bullosa haemorrhagica,C0341010,1.000000000000001
Angina pectoris,Angina pectoris,C0002962,0.9999999999999997
Angina unstable,Angina unstable,C0002965,1.0
Angiodysplasia,Angiopathy,C0042373,0.7917815603735976
Angioedema,Angioedema,C0002994,1.0
Angiogram abnormal,Angiopathy,C0042373,0.6816186287333516
Angiokeratoma,angiokeratoma,C0002985,1.0000000000000007
Angiomyolipoma,Angiomyolipoma,C0206633,1.0000000000000009
Angiopathy,Angiopathy,C0042373,1.0
Angiosarcoma,angiosarcoma,C0018923,1.000000000000001
Angiosarcoma metastatic,angiosarcoma metastatic,C0854892,0.9999999999999994
Angle closure glaucoma,Angle closure glaucoma,C0017605,0.9999999999999993
Angular cheilitis,Angular cheilitis,C0221237,1.0000000000000007
Anhedonia,Apathy,C0085632,0.704133274691262
Anhidrosis,Anhidrosis,C0003028,1.0000000000000004
Animal bite,Animal bite,C0003044,1.0000000000000007
Anion gap,anion gap,C0201889,1.0
Anion gap decreased,Anion gap increased,C0342592,0.9326137653544103
Anion gap increased,Anion gap increased,C0342592,1.0
Anisocoria,Pupils unequal,C0003079,0.6694126405621385
Ankle fracture,Ankle fracture,C0159877,1.0
Ankle operation,foot operation,C0188413,0.7936001646524518
Ankyloglossia congenital,Buccoglossal syndrome,C0151538,0.673656104802333
Ankylosing spondylitis,Ankylosing spondylitis,C0038013,1.0000000000000004
Anogenital warts,Anogenital warts,C0009663,1.0000000000000018
Anomaly of external ear congenital,anomaly of external ear congenital,C0559902,0.9999999999999999
Anorectal cellulitis,Perirectal abscess,C0267566,0.7410722118283206
Anorectal discomfort,Anorectal discomfort,C2242737,1.0000000000000013
Anorectal disorder,Anorectal disorder,C0687707,1.0000000000000002
Anorectal infection,anal inflammation,C0238634,0.7934870163802599
Anorexia nervosa,Anorexia,C0003123,0.845591039059356
Anorgasmia,Anorgasmia,C0234022,0.9999999999999997
Anosmia,Anosmia,C0003126,1.0000000000000007
Anoxia,Anoxia,C0003130,1.0000000000000018
Anterior chamber disorder,Anterior chamber inflammation,C1096278,0.7062692321743633
Anterior chamber fibrin,Posterior synechiae of iris,C0152253,0.5887242314431946
Anterior chamber flare,Anterior chamber flare,C0423281,1.000000000000002
Anterograde amnesia,Anterograde amnesia,C0233795,0.9999999999999997
Anti factor V antibody positive,Anti-thyroid antibody positive,C1168134,0.60579650869836
Anti factor X activity increased,International normalised ratio increased,C0853225,0.6740771033304095
Anti factor Xa activity decreased,Thromboplastin decreased,C0151951,0.6151838745119715
Anti-androgen withdrawal syndrome,Steroid withdrawal syndrome,C0235453,0.749086442191073
Anti-cyclic citrullinated peptide antibody positive,Antineutrophil cytoplasmic antibody positive,C0238874,0.7495510684398912
Anti-neutrophil cytoplasmic antibody positive vasculitis,Antineutrophil cytoplasmic antibody positive,C0238874,0.7615186746874274
Anti-platelet antibody,Platelet aggregation inhibition,C0919737,0.6467599445513685
Anti-thyroid antibody,Anti-thyroid antibody positive,C1168134,0.8160615159191418
Anti-thyroid antibody increased,Anti-thyroid antibody positive,C1168134,0.868312456445776
Antiacetylcholine receptor antibody positive,Anti-thyroid antibody positive,C1168134,0.6740951910399445
Antibiotic level above therapeutic,antibiotic level above therapeutic,C0855922,0.9999999999999999
Antibiotic level below therapeutic,antibiotic level above therapeutic,C0855922,0.8088990243265742
Antibody test negative,antibody test positive,C0741132,0.7890823575413238
Antibody test positive,antibody test positive,C0741132,1.0
Anticholinergic syndrome,Anticholinergic syndrome,C0151500,0.9999999999999997
Anticoagulant-related nephropathy,crystal nephropathy,C3203622,0.6340545597960449
Anticoagulation drug level,anticoagulation drug level below therapeutic,C1168145,0.7170466963151539
Anticoagulation drug level abnormal,Coagulation test abnormal,C1504379,0.7669945374133751
Anticoagulation drug level above therapeutic,anticoagulation drug level below therapeutic,C1168145,0.8371544430228981
Anticoagulation drug level below therapeutic,anticoagulation drug level below therapeutic,C1168145,0.9999999999999996
Anticoagulation drug level decreased,anticoagulation drug level below therapeutic,C1168145,0.9317604675808258
Anticoagulation drug level increased,anticoagulation drug level below therapeutic,C1168145,0.748156373689778
Anticonvulsant drug level abnormal,anticonvulsant drug level decreased,C1142503,0.8220509342963667
Anticonvulsant drug level above therapeutic,anticonvulsant drug level above therapeutic,C1096295,1.0000000000000002
Anticonvulsant drug level below therapeutic,anticonvulsant drug level decreased,C1142503,0.9357340787998194
Anticonvulsant drug level decreased,anticonvulsant drug level decreased,C1142503,1.0000000000000002
Anticonvulsant drug level increased,anticonvulsant drug level above therapeutic,C1096295,0.9127072854847074
Anticonvulsant drug level therapeutic,anticonvulsant drug level above therapeutic,C1096295,0.8372166921187449
Antidepressant discontinuation syndrome,Drug withdrawal syndrome,C0152128,0.7539701537802038
Antidepressant drug level above therapeutic,anticonvulsant drug level above therapeutic,C1096295,0.7000412430674019
Antidepressant drug level decreased,Drug level decreased,C0151598,0.7740937585431553
Antidepressant drug level increased,antipsychotic drug level increased,C1504424,0.751735915311935
Antimicrobial susceptibility test resistant,antimicrobial susceptibility test resistant,C0854157,1.0000000000000004
Antineutrophil cytoplasmic antibody increased,antineutrophil cytoplasmic antibody increased,C1168430,0.9999999999999998
Antineutrophil cytoplasmic antibody positive,Antineutrophil cytoplasmic antibody positive,C0238874,1.000000000000001
Antinuclear antibody increased,Antinuclear antibody increased,C1610056,1.0
Antinuclear antibody positive,Antinuclear antibody positive,C0151480,0.9999999999999991
Antiphospholipid antibodies,antisynthetase syndrome,C2609059,0.5594813368877817
Antiphospholipid antibodies positive,Antinuclear antibody positive,C0151480,0.6348447300283483
Antiphospholipid syndrome,antisynthetase syndrome,C2609059,0.6567684812279908
Antipsychotic drug level above therapeutic,antipsychotic drug level increased,C1504424,0.9140412797918089
Antipsychotic drug level below therapeutic,Drug level decreased,C0151598,0.7161037063142911
Antipsychotic drug level decreased,Drug level decreased,C0151598,0.7265635122375735
Antipsychotic drug level increased,antipsychotic drug level increased,C1504424,1.0000000000000004
Antisocial behaviour,Antisocial behaviour,C0233523,1.0000000000000007
Antisocial personality disorder,Antisocial personality disorder,C0003431,1.0000000000000007
Antithrombin III decreased,Hypoprothrombinaemia,C3203356,0.665026742295333
Antiviral drug level above therapeutic,antibiotic level above therapeutic,C0855922,0.676415961444068
Antiviral drug level below therapeutic,viral load decreased,C0877185,0.7564283180256235
Anuria,Anuria,C0003460,0.9999999999999992
Anxiety,Anxiety,C0003467,1.0000000000000009
Anxiety disorder,Anxiety disorder,C0003469,0.9999999999999996
Aortic aneurysm,Aortic aneurysm,C0003486,1.0000000000000013
Aortic aneurysm repair,Aortic aneurysm,C0003486,0.6713468971724919
Aortic aneurysm rupture,aortic rupture,C0003496,0.8990008725158181
Aortic arteriosclerosis,Aortic arteriosclerosis,C1388177,1.0000000000000002
Aortic calcification,Aortic arteriosclerosis,C1388177,0.7752570218263798
Aortic dilatation,aortic dilatation,C0265004,0.9999999999999987
Aortic disorder,Aortic disorder,C0003493,1.0
Aortic dissection,Aortic dissection,C0340643,1.0000000000000009
Aortic dissection rupture,Aortic dissection,C0340643,0.9170015189869389
Aortic intramural haematoma,Perirenal haematoma,C0473124,0.702139726170768
Aortic rupture,aortic rupture,C0003496,1.0
Aortic stenosis,Aortic valve stenosis,C0003507,0.895320293164153
Aortic thrombosis,aortic thrombosis,C0854142,1.0000000000000002
Aortic valve calcification,heart valve calcification,C1142152,0.8364852144186121
Aortic valve disease mixed,Aortic valve sclerosis,C1455780,0.6555990515903057
Aortic valve incompetence,Aortic valve incompetence,C0003504,0.9999999999999999
